"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 22:53:16 WAT 2024","Tue Apr 16 22:53:16 WAT 2024","0","","My Login application","","My Login application","test 2","test 2",""
"passed","Tue Apr 16 22:53:16 WAT 2024","Tue Apr 16 22:53:16 WAT 2024","3","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
